#Table1
objid,ra,dec,specobjid,ra1,dec1
1237678858477175215,12.9890950759763,11.8711022101519,6987423712204314624,12.989095,11.871099
1237678859550917038,12.989823135901,12.731566141913,6987420963425245184,12.989823,12.731559
1237678918062768485,12.9907391658833,11.2760206951676,6424538628626864128,12.990741,11.276008
1237678919673315913,12.9911775426254,12.5883142073905,6987419863913617408,12.991179,12.588308
1237678858475995862,10.1943580192109,11.8344492199266,6368351931405195264,10.194356,11.834443
1237678907323777587,10.1946659346812,10.5699516095756,5114031538544334848,10.194664,10.569949
1237678919672135729,10.1956269230305,12.4857599505176,12432310883262420992,10.195627,12.48576
1237678859549737241,10.196036082544,12.6850331250325,6982937705115310080,10.196036,12.68503
1237678858476060800,10.3516347368976,11.9672385283703,6982944577062983680,10.351636,11.967237
1237678907323842997,10.3526133209285,10.5819827029767,5114042533660612608,10.35261,10.581982
1237678859549802614,10.3536641761686,12.8312355497169,6982930008533915648,10.353661,12.831231
1237678920209137895,10.5035663722899,12.9115696540277,6982929733656008704,10.503567,12.911568
1237678857939321440,10.6373244364496,11.5204852139263,6986371478603454464,10.637322,11.520483
1237678918598656666,10.7724982952135,11.790663281455,6986368729824385024,10.772495,11.790662
1237678907860910426,10.7733761208809,10.8738511185595,6368093546172667904,10.773375,10.873847
1237678857939452237,10.9272184821863,11.5340681679324,6986383023475546112,10.927217,11.534068
1237678858476257430,10.9284680446886,11.8910659881171,6982899497086244864,10.928469,11.891066
1237678919135592620,10.9288612926441,12.0275285988465,6986378900306941952,10.928859,12.027528
1237678907324236167,11.2022007861636,10.5559393148429,5114090087538513920,11.202198,10.55594
1237679319094199200,11.3517967652654,10.1811916427207,12438045110641645568,11.351797,10.181192
1237679319631135621,11.5015313872273,10.6189933846946,6986280219138349056,11.501528,10.618993
1237678859550261374,11.5017614508403,12.8231540410469,6982872833929271296,11.501758,12.823155
1237678858476585635,11.6768883906561,11.9573773182006,12432231443547314176,11.676888,11.957377
1237678906787627220,11.8459990347291,10.1186220226673,12438079195502106624,11.845999,10.118622
1237678858476651039,11.8463669623989,11.9459096873404,6986422880772052992,11.846365,11.945919
1237678920209793269,12.0133692974374,12.8559090108894,6982851668330436608,12.013371,12.855912
1237678858476781652,12.0147729892603,11.8050004797921,6986447619783677952,12.014774,11.804999
1237678920209793140,12.0149302190513,12.8587203553307,6987469067058960384,12.014934,12.858724
1237678906787692958,12.014983873892,10.0477347769981,6986244210132539392,12.014985,10.047733
1237679320168268162,12.0151406717292,11.0627670029886,6986251631836026880,12.01514,11.062764
1237678858476913260,12.3455276583987,11.8252828829736,6986462738068559872,12.345523,11.825285
1237678920209924455,12.3461159166862,12.8666576833859,12432206704535689216,12.346116,12.866658
1237678857940042115,12.3465427475537,11.4268443781575,6986466036603443200,12.34654,11.426849
1237678859550720308,12.5190681564887,12.7641372213504,6987454498529892352,12.519065,12.764139
1237678833756537204,12.6935096167987,10.1395644000797,5116287187017816064,12.693507,10.139564
1237678907861762231,12.6936674408117,10.923125260488,6986216172586031104,12.693664,10.923131
1237678859550785595,12.6938522895465,12.626357917444,6987439655122917376,12.69385,12.626355
1237678859013915258,12.6939028766066,12.3839649763151,6987438005855475712,12.693899,12.383964
1237678907324891419,12.6945452007825,10.401666352821,6986222494777890816,12.694541,10.401672
1237678834830344508,12.8620802293897,11.0741113514588,6986212874051147776,12.862081,11.07411
1237678857940238990,12.8628284637225,11.5248448416856,6424530932045469696,12.862827,11.524843
1237679319630610622,10.1612994850302,10.6107900828631,5114030439032707072,10.161302,10.610793
1237678857939255506,10.59396295866,11.58811253622,6981976455732549632,10.593961,11.588112
1237679320167613188,10.5949288872722,11.0463649404238,6981709549284907008,10.594928,11.046363
1237678859012997946,10.5949735632574,12.4185552219869,12432299338390329344,10.594974,12.418555
1237678906787168946,10.7228488559334,10.1395088699529,5114067547550144512,10.722846,10.139505
1237678859549999951,10.8677881560841,12.7305603914421,12432282295960098816,10.867788,12.73056
1237678858476257304,10.8692159505169,11.8317303846886,6986379999818569728,10.869214,11.831729
