#Table1
objid,ra,dec
1237679319630545102,10.004183406046,10.7069508770402
1237678907860583169,10.0041904445181,10.8987953169474
1237678858475864287,10.0042079944978,11.9068670601798
1237678918061458196,10.0042240567226,11.2341133825385
1237678858475864229,10.0042379921932,11.9485004952549
1237678857939058959,10.00425280784,11.4772374393078
1237678858475864653,10.0042619781448,11.9677298335853
1237678920208941092,10.0043004635123,12.9010775278317
1237678907860582812,10.0043144918422,10.8188117347485
1237678907323711676,10.0043418977036,10.4406155655543
1237678918598328340,10.0043442862469,11.7408059072391
1237678859549606063,10.0043595486339,12.7059840724769
1237679319630545281,10.0043624390894,10.7444425259698
1237678918598328461,10.0043859850497,11.7114890253539
1237678858475864649,10.0043982719724,12.013702537098
1237678857939059444,10.0044017900962,11.4733400843401
1237678859012735664,10.0044043127271,12.4033235621657
1237678918598328784,10.0044138640917,11.7524987302628
1237678907323711989,10.0044212477263,10.4977120702573
1237678858475864139,10.0044278760178,11.8907971552874
1237679319093674079,10.0044309014819,10.2784912936119
1237678857939059222,10.0044325199531,11.5233789435218
1237678859549606594,10.0044500086389,12.7471102155407
1237678907860582807,10.0045028016932,10.9230600400275
1237678907323711983,10.0045436014972,10.5624320892421
1237678907323711997,10.0045537950609,10.3873827545612
1237678859549606050,10.0045592919176,12.8134308688769
1237678857939058692,10.004577533643,11.5123055459558
1237678906786840723,10.0045894739244,10.0177579311261
1237678919672070468,10.0046062461529,12.4676792129089
1237678859549606593,10.0046154369289,12.7845914640784
1237679319093674482,10.0046291785101,10.3767397862915
1237678859012735508,10.0046440960508,12.348536909379
1237678907323711619,10.0046557665248,10.4861305967923
1237678907323712278,10.0046650129779,10.5431033124663
1237678857939059443,10.004708704029,11.543257806788
1237678907323712003,10.0047252244902,10.4578460683989
1237678907323711985,10.0047320002977,10.5558439218148
1237679319093674037,10.0047479961065,10.2529175662841
1237678907323712277,10.0047561550566,10.5427037875377
1237679319630544907,10.0047642535168,10.7673051106955
1237678857938993801,10.0047815613243,11.6104447974426
1237678907860582439,10.0047896691059,10.8926581860479
1237678859012735510,10.0047985709911,12.3038610026265
1237678858475864808,10.0048067807575,11.8589948492045
1237678918061458195,10.0048184805125,11.3817029318845
1237678907860583237,10.0048208807887,10.9613804696188
1237678919135199920,10.0048261966787,12.1109608731231
1237678918598329055,10.0048329422441,11.6321847646358
1237678907860583036,10.004863885706,10.9344031636915
1237678859549606592,10.0048784352219,12.7878889409731
1237678858475864651,10.0048842493355,12.0309361346006
1237678919135199625,10.0048862889806,12.1685799100419
1237678859012735799,10.0049218256315,12.4312401653519
1237678907860583037,10.0049270143126,10.8624685827478
1237678919135200069,10.0049814697655,12.1457269854847
1237679319093674262,10.0050273102245,10.3080220256349
1237678919672070782,10.0050302156755,12.4830554738421
